sep=,
Filename,Lastname,Firstnames,Title,Date
ENG18953_Macdonald,MacDonald,George,Lilith; A Romance : ELTec edition : ELTeC edition,1895
ENG18954_Sharp,Sharp,Evelyn,At the Relton Arms : ELTec edition : ELTeC edition,1895
ENG18960_Malet,Malet,Lucas,The Carissima : ELTeC edition,1896
ENG18961_Griffiths,Griffiths,Major Arthur George Frederick,The Rome Express : ELTeC edition,1896
ENG18970_Phillpots,Phillpotts,Eden,Lying Prophets: ELTeC edition,1897
ENG18972_Morris,Morris,William,The water of the wondrous isles: ELTeC edition,1897
ENG18973_Cholmondeley,Cholmondeley,Mary,A Devotee: An Episode in the Life of a Butterfly : ELTec edition : ELTeC edition,1897
ENG18980_BaringGould,Baring-Gould,Sabine,Domitia : ELTeC edition,1898
ENG19001_Glyn,Glyn,Elinor,The Visits of Elizabeth : ELTeC edition,1900
ENG19004_Fowler,Fowler,Ellen Thorneycroft,The Farringdons : ELTeC edition,1900
ENG19005_Steel,Steel,Flora Annie,The Hosts of the Lord : ELTeC edition,1900
ENG19010_Mason,Mason,Alfred Edward Woodley,Clementina : ELTeC edition,1901
ENG19011_Jerome,Jerome,Jerome K.,The Observations of Henry : ELTec edition : ELTeC edition,1901
ENG19020_Nesbit,Nesbit,Edith,The Red House : ELTeC edition,1902
ENG19060_Nesbit,Nesbit,Edith,The Story of the Amulet : ELTeC edition,1906
ENG19070_Machen,Machen,Arthur,The Hill of Dreams: ELTeC edition,1907
ENG19071_Silberrad,Silberrad,Una Lucy,The good comrade : ELTeC edition,1907
ENG19080_Chesterton,Chesterton,Gilbert Keith,The man who was Thursday : ELTeC edition,1908
ENG19090_Wells,Wells,Herbert George,Tono-bungay: ELTeC edition,1909
ENG19091_Ward,Ward,"Humphry, Mrs.","Daphne, or Marriage a la Mode : ELTeC edition",1909
ENG19100_Forster,Forster,Edward Morgan,Howards End : ELTeC edition,1910
ENG19111_Hornung,Hornung,Ernest William,The Camera Fiend : ELTeC edition,1911
ENG19120_Wells,Wells,Herbert George,Marriage : ELTeC edition,1912
ENG19121_Belloc,Belloc-Lowndes,Marie,The Chink in the Armour : ELTec edition : ELTeC edition,1912
ENG19150_Buchan,Buchan,John,The Thirty-nine Steps: ELTeC edition,1915
ENG19170_Conrad,Conrad,Joseph,The shadow-line: ELTec edition : ELTeC edition,1917
ENG19180_Lewis,Lewis,Percy Wyndham,Tarr : ELTeC edition,1918
ENG19181_West,West,Rebecca [pseud. Cicily Isabel Fairfield],The Return of the Soldier : ELTec edition : ELTeC edition,1918
ENG19190_Benson,Benson,Stella,Living Alone : ELTeC edition,1919
ENG19191_Hamilton,Hamilton,Cicely,William — an Englishman: ELTeC edition,1919
ENG19192_Woolf,Woolf,Virginia,Night and day: ELTeC edition,1919
ENG19200_Lawrence,Lawrence,David Herbert,Women in love : ELTeC edition,1920
ENG19201_Arlen,Arlen,Michael [pseud.],The London venture : ELTeC edition,1919
